###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57481.531254  12.772  0.001 28259   27 c  0 17009.90 266.37407 -29.31596  4398.12  8630.90 4.08 3.81 -81.4 -0.454 19.01 20.74 02a57481o0656c
57481.539945  12.719  0.001 29662   27 c  0 18639.93 266.37407 -29.31596  4683.57  9215.79 4.07 3.88 -79.9 -0.451 19.03 20.73 02a57481o0674c
57481.558382  13.128  0.001 20354   27 c  0 6032.20 266.37407 -29.31596  3540.94  9814.78 5.30 4.29  -4.8 -0.382 18.83 20.73 02a57481o0712c
57481.574935  12.987  0.001 23178   30 c  0 8946.50 266.37407 -29.31596  3463.26  9838.72 4.17 3.97 -49.3 -0.437 19.04 20.69 02a57481o0746c
57494.542194  12.348  0.004 41748  164 o  0 1230.60 266.37407 -29.31596  4008.40  8840.97 3.89 3.60 -78.4 -0.488 18.68 20.11 02a57494o0654o
57494.560089  10.049  0.000 347202   41 o  0 209171.22 266.37407 -29.31596  4039.80  8877.97 3.92 3.63 -77.1 -0.488 18.68 20.07 02a57494o0688o
57499.490540  12.805  0.007 27423  182 o  0 600.68 266.37407 -29.31596  4013.68  8842.83 3.81 3.60 -68.7 -0.520 17.78 18.42 02a57499o0527o
57499.494843  13.472  0.013 14831  200 o  0 175.04 266.37407 -29.31596  4046.76  8883.34 3.73 3.46 -71.7 -0.543 17.86 18.47 02a57499o0536o
57500.584446  10.529  0.001 222981  136 o  0 32869.80 266.37407 -29.31596  6517.20  1656.23 4.07 3.50  57.1 -0.546 17.68 18.80 02a57500o0693o
57511.525503  12.902  0.001 25082   26 c  0 13978.80 266.37407 -29.31596  2177.31  8690.99 4.22 3.95 -65.7 -0.412 19.13 20.98 02a57511o0623c
57511.544124  13.105  0.001 20796   24 c  0 12368.25 266.37407 -29.31596  2190.87  8724.83 4.12 3.78 -65.7 -0.434 19.20 21.02 02a57511o0656c
57511.553845  13.105  0.001 20799   24 c  0 11105.94 266.37407 -29.31596  2141.04  8645.82 4.29 3.92 -64.2 -0.418 19.16 21.02 02a57511o0675c
57511.554812  13.256  0.001 18097   21 c  0 10784.46 266.37407 -29.31596  2123.57  8762.05 4.32 3.94 -65.0 -0.423 19.16 21.02 02a57511o0677c
57511.572573  13.308  0.001 17248   21 c  0 9246.95 266.37407 -29.31596  6355.87  1641.67 4.62 4.08  -0.1 -0.441 19.13 20.99 02a57511o0710c
57514.548793  13.223  0.001 18651   23 c  0 8919.03 266.37407 -29.31596  6209.31  2776.10 4.54 3.67   2.8 -0.441 19.13 20.96 02a57514o0686c
57514.562097  13.940  0.002  9637   23 c  0 3046.10 266.37407 -29.31596  6191.61  2744.13 4.03 3.62   4.2 -0.466 19.21 20.97 02a57514o0713c
57514.574931  13.988  0.003  9218   27 c  0 2228.24 266.37407 -29.31596  6257.69  2826.14 3.92 3.55   5.8 -0.464 19.23 20.98 02a57514o0739c
57514.587691  14.180  0.003  7729   22 c  0 2172.63 266.37407 -29.31596  6272.84  2713.26 3.92 3.60   3.9 -0.457 19.23 20.98 02a57514o0765c
57514.600966  13.406  0.001 15758   20 c  0 10012.56 266.37407 -29.31596  6220.02  2774.71 3.92 3.57   3.9 -0.458 19.23 20.96 02a57514o0792c
57520.488496  13.610  0.002 13056   24 c  0 4809.42 266.37407 -29.31596  3859.77  6989.36 4.11 3.79 -68.8 -0.462 19.10 21.01 02a57520o0518c
57520.503413  13.436  0.001 15336   22 c  0 7502.40 266.37407 -29.31596  3873.17  7026.24 4.14 3.78 -68.6 -0.462 19.11 21.02 02a57520o0547c
