###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57228.324456   5.158  0.054 -420145341118 22665421582 o  0  21.09 266.37407 -29.31596  3985.34  8884.23 3.66 3.55 -70.1 -0.453 -2.74 -1.70 02a57228o0103o
57228.349930   5.250  0.032 -457033274897 14541967838 o  0 41615.06 266.37407 -29.31596  6752.10  1462.64 3.79 3.76  19.6 -0.444 -2.76 -1.59 02a57228o0130o
57228.376596   5.021  0.034 -370301607730 12652159874 o  0  56.37 266.37407 -29.31596  5324.74  2934.17 3.65 3.43 -80.2 -0.434 -2.68 -1.54 02a57228o0159o
57228.403023   5.197  0.029 -435459777964 12524780465 o  0 11804.61 266.37407 -29.31596  5336.10  2939.57 3.62 3.46 -73.4 -0.424 -2.67 -1.52 02a57228o0188o
57477.621790   6.899  0.097 -2086776386236 201733128503 o  0   3.24 266.37407 -29.31596  4137.08  8823.89 3.68 3.39 -78.2 -0.525 -4.12 -3.37 02a57477o0820o
57477.640686   6.777  0.075 -1865417773344 139409341216 o  0   6.60 266.37407 -29.31596  4410.73  9412.95 3.74 3.43 -82.6 -0.526 -4.25 -3.67 02a57477o0857o
57481.531254 -17.229  0.075  -466   35 c  0  30.25 266.37407 -29.31596  4398.12  8630.90 4.08 3.81 -81.4 -0.454 19.01 20.74 02a57481o0656c
57481.539945 -17.369  0.072  -410   29 c  0  47.27 266.37407 -29.31596  4683.57  9215.79 4.07 3.88 -79.9 -0.451 19.03 20.73 02a57481o0674c
57481.558382 -16.671  0.037  -779   29 c  0  46.04 266.37407 -29.31596  3540.94  9814.78 5.30 4.29  -4.8 -0.382 18.83 20.73 02a57481o0712c
57481.562286   6.126  0.024 -1024686140873 24549260682 c  0  86.29 266.37407 -29.31596   965.21   126.49 6.47 4.24 -15.7 -0.426 -3.39 -1.38 02a57481o0720c
57481.574935 -17.340  0.075  -421   31 c  0  34.16 266.37407 -29.31596  3463.26  9838.72 4.17 3.97 -49.3 -0.437 19.04 20.69 02a57481o0746c
57481.579763   4.448  0.088 -218389754309 19281257588 c  0   8.78 266.37407 -29.31596   884.33   149.98 5.59 3.74 -20.3 -0.480 -3.23 -1.41 02a57481o0756c
57494.542194 -16.682  0.056  -771   43 o  0  58.46 266.37407 -29.31596  4008.40  8840.97 3.89 3.60 -78.4 -0.488 18.68 20.11 02a57494o0654o
57494.560089 -16.763  0.051  -716   37 o  0  64.40 266.37407 -29.31596  4039.80  8877.97 3.92 3.63 -77.1 -0.488 18.68 20.07 02a57494o0688o
57494.570982 -16.173  0.039 -1233   48 o  0  60.54 266.37407 -29.31596  3970.33  8799.34 4.20 3.91 -79.7 -0.416 18.01 19.20 02a57494o0707o
57494.584049 -16.296  0.042 -1100   46 o  0  68.97 266.37407 -29.31596  3950.05  8914.13 4.15 3.84 -78.2 -0.424 18.08 19.33 02a57494o0730o
57497.539239   6.105  0.050 -1004785954062 50103475030 o  0  22.00 266.37407 -29.31596  4006.73  8840.59 4.26 3.89 -74.1 -0.445 -4.30 -3.49 02a57497o0566o
57497.547741 -15.905  0.047 -1577   74 o  0  27.74 266.37407 -29.31596  4040.03  8877.82 4.21 3.88 -75.1 -0.446 17.68 18.49 02a57497o0581o
57497.562775 -15.663  0.047 -1972   92 o  0 2213.92 266.37407 -29.31596  3969.29  8802.17 4.15 3.76 -78.8 -0.457 17.73 18.55 02a57497o0611o
57497.570509   6.247  0.040 -1144680937756 46189918854 o  0  27.57 266.37407 -29.31596  3953.73  8914.03 4.24 3.82 -82.1 -0.447 -4.23 -3.38 02a57497o0626o
57499.490540 -16.261  0.140 -1136  158 o  0   5.28 266.37407 -29.31596  4013.68  8842.83 3.81 3.60 -68.7 -0.520 17.78 18.42 02a57499o0527o
57499.494843 -15.988  0.118 -1462  173 o  0   4.40 266.37407 -29.31596  4046.76  8883.34 3.73 3.46 -71.7 -0.543 17.86 18.47 02a57499o0536o
57499.518573 -15.193  0.052 -3038  158 o  0 335.42 266.37407 -29.31596  3974.32  8804.93 4.10 3.84 -71.4 -0.432 17.32 17.79 02a57499o0571o
57499.521920 -16.110  0.115 -1307  150 o  0   7.45 266.37407 -29.31596  3956.88  8922.61 4.13 3.82 -74.7 -0.436 17.34 17.81 02a57499o0578o
57500.556910 -14.962  0.054 -3760  202 o  0   6.83 266.37407 -29.31596  4010.45  8839.21 4.12 3.86 -77.4 -0.441 17.32 17.73 02a57500o0654o
57500.584446 -16.070  0.072 -1356   98 o  0   6.48 266.37407 -29.31596  6517.20  1656.23 4.07 3.50  57.1 -0.546 17.68 18.80 02a57500o0693o
57511.525503 -16.842  0.062  -666   41 c  0  21.15 266.37407 -29.31596  2177.31  8690.99 4.22 3.95 -65.7 -0.412 19.13 20.98 02a57511o0623c
57511.544124 -17.325  0.069  -426   29 c  0  44.24 266.37407 -29.31596  2190.87  8724.83 4.12 3.78 -65.7 -0.434 19.20 21.02 02a57511o0656c
57511.553845 -17.234  0.065  -464   30 c  0  39.13 266.37407 -29.31596  2141.04  8645.82 4.29 3.92 -64.2 -0.418 19.16 21.02 02a57511o0675c
57511.554812 -17.348  0.058  -418   24 c  0  66.85 266.37407 -29.31596  2123.57  8762.05 4.32 3.94 -65.0 -0.423 19.16 21.02 02a57511o0677c
57511.572573 -16.406  0.026  -995   26 c  0  66.49 266.37407 -29.31596  6355.87  1641.67 4.62 4.08  -0.1 -0.441 19.13 20.99 02a57511o0710c
57514.548793 -17.034  0.046  -558   26 c  0  54.03 266.37407 -29.31596  6209.31  2776.10 4.54 3.67   2.8 -0.441 19.13 20.96 02a57514o0686c
57514.562097 -17.144  0.053  -504   27 c  0  33.16 266.37407 -29.31596  6191.61  2744.13 4.03 3.62   4.2 -0.466 19.21 20.97 02a57514o0713c
57514.574931 -17.473  0.072  -372   27 c  0  37.99 266.37407 -29.31596  6257.69  2826.14 3.92 3.55   5.8 -0.464 19.23 20.98 02a57514o0739c
57514.587691 -17.579  0.068  -338   23 c  0  59.39 266.37407 -29.31596  6272.84  2713.26 3.92 3.60   3.9 -0.457 19.23 20.98 02a57514o0765c
57514.600966 -17.610  0.061  -328   20 c  0  36.67 266.37407 -29.31596  6220.02  2774.71 3.92 3.57   3.9 -0.458 19.23 20.96 02a57514o0792c
57520.488496 -17.202  0.053  -478   25 c  0  64.03 266.37407 -29.31596  3859.77  6989.36 4.11 3.79 -68.8 -0.462 19.10 21.01 02a57520o0518c
57520.503413 -17.205  0.052  -476   25 c  0  63.53 266.37407 -29.31596  3873.17  7026.24 4.14 3.78 -68.6 -0.462 19.11 21.02 02a57520o0547c
57520.511651 -17.296  0.052  -438   23 c  0  65.23 266.37407 -29.31596  3821.55  6946.36 4.10 3.76 -66.6 -0.456 19.13 21.02 02a57520o0564c
57520.522301 -17.407  0.071  -396   28 c  0  48.26 266.37407 -29.31596  3804.09  7059.67 4.11 3.78 -66.9 -0.460 19.12 21.03 02a57520o0586c
57520.535395 -17.355  0.065  -415   27 c  0  50.20 266.37407 -29.31596  3834.67  6999.02 4.08 3.71 -70.4 -0.465 19.14 21.02 02a57520o0613c
57521.518733 -17.133  0.054  -509   27 c  0  45.66 266.37407 -29.31596  3926.74 10408.39 4.28 3.98 -67.7 -0.428 19.17 21.03 02a57521o0555c
57521.526736   5.843  0.025 -789143715810 20032109709 c  0  66.05 266.37407 -29.31596  9134.88  9795.57 4.48 3.87  77.3 -0.401 -3.10 -1.14 02a57521o0570c
57521.530616 -16.539  0.044  -880   38 c  0  22.01 266.37407 -29.31596  6588.95    65.40 5.21 3.80   4.9 -0.514 19.16 20.95 02a57521o0578c
57521.538481   5.543  0.030 -598536943206 17697893134 c  0  88.86 266.37407 -29.31596  9116.73  9761.28 4.38 3.74  78.1 -0.413 -3.08 -1.15 02a57521o0593c
57521.542875 -16.686  0.043  -768   33 c  0  30.70 266.37407 -29.31596  6635.45   148.49 5.14 3.72   6.5 -0.516 19.15 20.91 02a57521o0601c
57521.550459   5.750  0.027 -724247439450 19503447927 c  0  72.48 266.37407 -29.31596  9180.04  9848.10 4.41 3.71  81.1 -0.419 -3.09 -1.18 02a57521o0616c
57521.554510  17.191  1.362   483  658 c  0   0.12 266.37407 -29.31596  6650.85    34.27 5.28 3.80   5.8 -0.508 19.14 20.90 02a57521o0624c
57521.562388   5.696  0.028 -689092414134 18981677518 c  0  67.01 266.37407 -29.31596  9195.29  9737.28 4.34 3.70  80.3 -0.424 -3.09 -1.18 02a57521o0639c
57521.566558 -16.476  0.034  -932   32 c  0  42.75 266.37407 -29.31596  6613.83    98.00 5.15 3.77   6.0 -0.529 19.14 20.88 02a57521o0647c
